Key,Source,Context,Changes,English,French,German,Klingon,Spanish
partsPumpShotgunShortGroupDesc,items,Part,KgNone,Type: [decea3]Weapon Part[-] [4FFFBE](Uncommon)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\nA part of the sawed-off shotgun. Great for hunting rabbits.,,,,
partsRocketLauncher_barrel,items,Part,KgNone,Rocket Launcher Barrel,,,,
partsRocketLauncher_barrelDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsRocketLauncher_parts,items,Part,KgNone,Rocket Launcher Parts,,,,
partsRocketLauncher_partsDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsRocketLauncher_receiver,items,Part,KgNone,Rocket Launcher Receiver,,,,
partsRocketLauncher_receiverDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsRocketLauncher_stock,items,Part,KgNone,Rocket Launcher Stock,,,,
partsRocketLauncher_stockDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsRocketLauncherGroupDesc,items,Part,KgNone,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\nA part of the rocket launcher. Say no more.,,,,
partsScopeDesc,items,Gun,,A high-powered scope to attach to a sniper for increased magnification.,,,,
partsSilencerDesc,items,Gun,,A silencer to attach to guns.,,,,
partsSniperRifle_barrel,items,Part,KgNone,Sniper Rifle Barrel,,,,
partsSniperRifle_barrelDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsSniperRifle_parts,items,Part,KgNone,Sniper Rifle Parts,,,,
partsSniperRifle_partsDesc,items,Item,,Type: [decea3]Weapon Part[-] [4FFFBE](Uncommon)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\nGun part that can be assembled with other parts to create a complete Gun.,,,,
partsSniperRifle_receiver,items,Part,KgNone,Sniper Rifle Receiver,,,,
partsSniperRifle_receiverDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsSniperRifle_stock,items,Part,KgNone,Sniper Rifle Stock,,,,
partsSniperRifle_stockDesc,items,Item,,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
partsSniperRifleGroupDesc,items,Part,KgNone,Type: [decea3]Weapon Part[-] [FDFF4F](Very Rare)[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\nA part of the sniper rifle. Its not even .50 cal why bother.,,,,
passcodeAccepted,UI,Menu,KgNone,Passcode Accepted,,,,
passcodeRejected,UI,Menu,KgNone,Passcode Rejected,,,,
passcodeRemoved,UI,Menu,KgNone,Passcode Access Disabled,,,,
passcodeSet,UI,Menu,KgNone,Passcode Changed,,,,
peculiarTaste,buffs,Buff,,Peculiar Taste,,,,
peculiarTasteDesc,buffs,Buff,,You're not sure what you just ate but it didn't taste like chicken.,,,,
peculiarTasteTooltip,buffs,Buff,,A peculiar taste...,,,,
perkBruiser,items,Item,,Bruiser Perks,,,,
perkBuilder,items,Item,,Builder Perks,,,,
perkClassDesc,items,Item,,Read this to gain skills relevant to your class.,,,,
perkGunman,items,Item,,Gunman Perks,,,,
perkHunter,items,Item,,Hunter Perks,,,,
perkMedic,items,Item,,Medic Perks,,,,
perkMiner,items,Item,,Miner Perks,,,,
perkRifleman,items,Item,,Rifleman Perks,,,,
perkSurvivor,items,Item,,Survivor Perks,,,,
perkVeteran,items,Item,,Veteran Perks,,,,
perkWildcard,items,Item,,Wildcard Perks,,,,
PeroxideDesc,items,Medical,,Pour it over a cloth to make a medicated bandage to fight off stage 1 infection.,,,,
pew_segment01,blocks,Block,KgNone,Pew Segment 1,,,,
pew_segment02,blocks,Block,KgNone,Pew Segment 2,,,,
pew_segment03,blocks,Block,KgNone,Pew Segment 3,,,,
pickaxeIron,items,Tool,KgNone,Iron Pickaxe,,,,
pickaxeIronDesc,items,Tool,KgNone,"Type: [decea3]Handheld Tool[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nPickaxes are best used for breaking stone, metal and harvesting minerals.",,,,
pickaxeSteel,items,Tool,KgNone,Steel Pickaxe,,,,
pickaxeSteelDesc,items,Tool,KgNone,"Type: [decea3]Handheld Tool[-] [FDFF4F](Very Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nPickaxes are best used for breaking stone, metal and harvesting minerals.",,,,
pickupCrops,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0} {1},,,,
pickupPrompt,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0},,,,
pimpHat,items,Clothes,,Funtime Pimp Hat,,,,
pineSeed,items,Farming,KgNone,Pine Seed,,,,
pineSeedDesc,items,Item,,Type: [decea3]Seed[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\n,,,,
pipeBomb,items,Gun,EnChanged,Pipe Bomb (Ammo),,,,
pipeBombDesc,items,Gun,KgNone,"Type: [decea3]Grenade[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Ammunition Table[-]\nMaterial: [decea3]Iron[-]\n\nMake pipe bombs with gun powder, pipes & plant fibers. Light them with the secondary action & throw them with the primary action.",,,,
pistolBook,items,Book,KgNone,Pistol Book,,,,
pistolBookDesc,items,Book,KgNone,"Type: [decea3]Schematic[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Paper[-]\n\nRead the pistol book to learn how to assemble, repair and augment 9mm pistols. ",,,,
pistols,progression,Skill,KgNone,Handguns,,,,
pistolsDesc,progression,Skill,KgNone,Do more damage with handguns. Gain skill by using items from this group.,,,,
plaidShirt,items,Clothes,KgNone,Plaid Shirt,,,,
plaidShirtBlack,items,Clothes,KgNone,Black Plaid Shirt,,,,
plaidShirtBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plaidShirtBlue,items,Clothes,KgNone,Blue Plaid Shirt,,,,
plaidShirtBlueDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plaidShirtBrown,items,Clothes,KgNone,Brown Plaid Shirt,,,,
plaidShirtBrownDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plaidShirtClothesGroupDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nLook like a lumberjack while getting a little protection against the weather and other damage types with this fine flannel shirt.,,,,
plaidShirtDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plaidShirtGreen,items,Clothes,KgNone,Green Plaid Shirt,,,,
plaidShirtGreenDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plaidShirtRed,items,Clothes,KgNone,Red Plaid Shirt,,,,
plaidShirtRedDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
plainsCNRCurb,blocks,Block,KgNone,Plains Corner Curb,,,,
plainsCurb,blocks,Block,KgNone,Plains Curb,,,,
plainsGround,blocks,Terrain,KgNone,Plains Ground,,,,
plainsGroundDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain in the proper shade of green.,,,,
plainWoodBarricade02CTRPlate,blocks,Block,GrChanged,Plain Wood Barricade02 Center Plate,,,,
plainWoodWindowPlug,blocks,Block,KgNone,Plain Wood Window Plug,,,,
plantedAloe1,blocks,Farming,New,Aloe Vera Seed,,,,
plantedAloe1Desc,items,Farming,New,Plant aloe vera seeds in fertile dirt to grow aloe vera plants.,,,,
plantedAloe3Harvest,blocks,Farming,KgNone,Aloe Vera Plant (Harvestable),,,,
plantedAloe3HarvestDesc,blocks,Farming,KgNone,The Aloe plant can be used to craft aloe cream.,,,,
plantedBlueberry1,blocks,Farming,New,Blueberry Seed,,,,
plantedBlueberry1Desc,items,Farming,KgNone,Plant blueberry seeds in fertile dirt to grow blueberry plants.,,,,
plantedBlueberry3Harvest,blocks,Farming,EnChanged KgNone,Blueberry Plant (Harvestable),,,,
plantedChrysanthemum1,items,Farming,New,Chrysanthemum Seed,,,,
plantedChrysanthemum1Desc,items,Farming,New,Plant chrysanthemum seeds in fertile dirt to grow chrysanthemum plants.,,,,
plantedChrysanthemum3Harvest,blocks,Farming,KgNone,Chrysanthemum (Harvestable),,,,
plantedChrysanthemum3HarvestDesc,blocks,Farming,KgNone,Chrysanthemum can be used to brew a cool and refreshing red tea.,,,,
plantedCoffee1,blocks,Farming,New,Coffee Seed,,,,
plantedCoffee1Desc,items,Farming,New,Type: [decea3]Seed[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\nPlant the seeds in fertile dirt to grow coffee plants.,,,,
plantedCoffee3Harvest,blocks,Farming,KgNone,Coffee Plant (Harvestable),,,,
plantedCorn1,blocks,Farming,EnChanged,Corn Seed,,,,
plantedCorn1Desc,items,Farming,KgNone,Type: [decea3]Seed[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\n,,,,
plantedCorn2,blocks,Farming,KgNone,Planted Corn 2 (Growing),,,,
plantedCorn3Harvest,blocks,Farming,EnChanged,Planted Corn 3 (Harvestable),,,,
plantedCornDead,blocks,Farming,KgNone,Planted Corn Dead,,,,
plantedCotton1,blocks,Farming,New,Cotton Seed,,,,
plantedCotton1Desc,items,Farming,KgNone,Type: [decea3]Seed[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\nCotton seeds can be planted in dirt to grow cotton.,,,,
plantedCotton3Harvest,blocks,Farming,KgNone,Cotton (Harvestable),,,,
plantedCotton3HarvestDesc,blocks,Farming,New,Cotton is used for weaving cloth and crafting other items. If you craft seeds from it you can re-plant it.,,,,
plantedGoldenrod1,blocks,Farming,New,Goldenrod Seed,,,,
plantedGoldenrod1Desc,items,Farming,KgNone,Plant these seeds in fertile dirt to grow goldenrod flowers which can be harvested to make tea.,,,,
plantedGoldenrod3Harvest,blocks,Farming,KgNone,Goldenrod Flower (Harvestable),,,,
plantedGoldenrod3HarvestDesc,blocks,Farming,KgNone,The goldenrod flower can be used to make goldenrod tea at a campfire.,,,,
plantedHop1,blocks,Farming,New,Hop Seed,,,,
plantedHop1Desc,items,Farming,New,Plant hop seeds in fertilized dirt to grow hop plants.,,,,
plantedHop3Harvest,blocks,Farming,New,Hop Plant (Harvestable),,,,
plantedMushroom1,blocks,Farming,New,Mushroom Spores (Seed),,,,
plantedMushroom1Desc,items,Farming,New,Mushroom spores can be planted on ground with a bare minimum of fertility and will grow without light.,,,,
plantedPotato1,blocks,Farming,KgNone,Potato Seed,,,,
plantedPotato1Desc,items,Farming,KgNone,Plant potato tubers - seeds in layman terms - in fertile dirt to grow potato plants.,,,,
plantedPotato3Harvest,blocks,Farming,KgNone,Potato Plant (Harvestable),,,,
plantedYucca1,blocks,Farming,New,Yucca Seed,,,,
plantedYucca1Desc,items,Farming,New,Plant yucca seeds in fertile dirt to grow yucca plants.,,,,
plantedYucca3Harvest,blocks,Farming,KgNone,Yucca Plant (Harvestable),,,,
plantedYucca3HarvestDesc,blocks,Farming,KgNone,A yucca plant can be used to make yucca juice.,,,,
plantFiberClothesGroupDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\nPlant fiber clothing provides basic protection against cold weather but is not ideal against other damage types.,,,,
plantFiberGloves,items,Clothes,KgNone,Plant Fiber Gloves,,,,
plantFiberGlovesDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantFiberHat,items,Clothes,KgNone,Plant Fiber Hat,,,,
plantFiberHatDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantFiberHood,items,Clothes,KgNone,Plant Fiber Hood,,,,
plantFiberHoodDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantFiberPants,items,Clothes,KgNone,Plant Fiber Pants,,,,
plantFiberPantsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantFiberShirt,items,Clothes,KgNone,Plant Fiber Shirt,,,,
plantFiberShirtDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantFiberShoes,items,Clothes,KgNone,Plant Fiber Shoes,,,,
plantFiberShoesDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Plant Fibers[-]\n\n,,,,
plantsBlockGroupDesc,blocks,Block,New,A decorative plant block from the creative menu.,,,,
plantSeed,blocks,Block,,Plant Seed,,,,
plantSeedDesc,blocks,Block,,You're not sure what plant these seeds are for. Plant these seeds in fertile earth to see what grows.,,,,
plasticplants,blocks,Blocks,Kgnone,These are for decoration,,,,
playersBackpack,entityclasses,Entity Info,KgNone,{0}'s backpack,,,,
playerSignWood1x1,blocks,Sign,New,Wooden Sign 1x1m,,,,
playerSignWood1x3,blocks,Sign,New,Wooden Sign 3x1m,,,,
playerSignWood2x5,blocks,Sign,New,Wooden Sign 5x2m,,,,
playGoManyMinutes,,General App Error,KgNone,{0} minutes,,,,
playGoOneMinute,,General App Error,KgNone,one minute,,,,
playGoRemaining,,General App Error,KgNone,Please wait until copy is complete to access this mode.\nTime until data copy completes: {0},,,,
playGoSubMinute,,General App Error,KgNone,less than a minute,,,,
plumbingKit,items,Item,,Plumbing Kit,,,,
plumbingKitDesc,items,Item,,This kit when used with with a wrench can upgrade broken sinks into working variants for a fresh source of water if you left-click them with an empty jar or bowl.,,,,
plywoodOsbCTRPlate,blocks,Block,GrChanged,Plywood Osb Center Plate,,,,
poleTop01,blocks,Block,KgNone,Pole Top01,,,,
poleTop01desc,items, Item, KgNone,"You can fix relays to these, one on each end and use them as powerlines.",,,,
poostewdesc,items,Food,New, It's like meatstew but yummier.,,,,
porchLight01,blocks,Block,EnChanged,Old Outdoor Light (POI),,,,
porchLight01_player,blocks,Electricity,New,Old Outdoor Light,,,,
porchLight04,blocks,Block,EnChanged,Iron Outdoor Light (POI),,,,
porchLight04Brass,blocks,Block,EnChanged,Brass Outdoor Light (POI),,,,
potassiumNitrate,blocks,Terrain,KgNone,Potassium Nitrate,,,,
potassiumNitratePowder,items,Item,KgNone,Nitrate Powder,,,,
potassiumNitratePowderDesc,items,Item,KgNone,Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\n\nHey captain caveman! Nitrate can be used to make gunpowder and cave stalagmites are rich in it.,,,,
potato,items,Farming,KgNone,Potato,,,,
potatoDesc,items,Farming,KgNone,"Type: [decea3]Food[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Organic[-]\n\nPotatoes can be eaten, crafted into seeds or used in several recipes at the campfire.",,,,
potatoSeed,items,Farming,EnChanged KgNone,Potato Seed,,,,
potatoSeedDesc,items,Item,,Type: [decea3]Seed[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\n,,,,
pouredConcreteArch,blocks,Block,New,Wet Concrete Arch 2m,,,,
pouredConcreteArrowSlitHalf,blocks,Block,New,Wet Concrete Arrow Slit,,,,
pouredConcreteBlock,blocks,Block,New,Wet Concrete Block,,,,
pouredConcreteCNRFull,blocks,Block,New,Wet Concrete Full Corner,,,,
pouredConcreteCNRInside,blocks,Block,New,Wet Concrete Inside Corner,,,,
pouredConcreteCNRRamp,blocks,Block,New,Wet Concrete Ramp Corner,,,,
pouredConcreteCNRRampFiller,blocks,Block,New,Wet Concrete Ramp Corner Filler,,,,
pouredConcreteCNRRound,blocks,Block,New,Wet Concrete Corner Round,,,,
pouredConcreteCNRRoundTop,blocks,Block,New,Wet Concrete Corner Round Top,,,,
pouredConcreteCTRPlate,blocks,Block,New,Wet Concrete Plate Centered,,,,
pouredConcreteCTRpole,blocks,Block,New,Wet Concrete Pole Centered,,,,
pouredConcreteEighth,blocks,Block,New,Wet Concrete 1/8 Block,,,,
pouredConcreteHalf,blocks,Block,New,Wet Concrete 1/2 Block,,,,
pouredConcretePillar100,blocks,Block,New,Wet Concrete Pillar 100,,,,
pouredConcretePillar50,blocks,Block,New,Wet Concrete Pillar 50,,,,
pouredConcretePlate,blocks,Block,New,Wet Concrete Plate,,,,
pouredConcretePole,blocks,Block,New,Wet Concrete Pole,,,,
pouredConcretePyramid,blocks,Block,New,Wet Concrete Pyramid,,,,
pouredConcreteQuarter,blocks,Block,New,Wet Concrete 1/4 Block,,,,
pouredConcreteRamp,blocks,Block,New,Wet Concrete Ramp,,,,
pouredConcreteStairs25,blocks,Block,New,Wet Concrete Stairs,,,,
pouredConcreteStairs25CornerCNR,blocks,Block,New,Wet Concrete Stairs Corner,,,,
pouredConcreteStairs50,blocks,Block,New,Wet Concrete Stairs 50,,,,
pouredConcreteSupport,blocks,Block,New,Wet Concrete Support,,,,
pouredConcreteWedge,blocks,Block,New,Wet Concrete Wedge,,,,
pouredConcreteWedgeCNRInsideBottom,blocks,Block,New,Wet Concrete Wedge Inside Corner Bottom,,,,
pouredConcreteWedgeCNRInsideTop,blocks,Block,New,Wet Concrete Wedge Inside Corner Top,,,,
pouredConcreteWedgeIncline,blocks,Block,New,Wet Concrete Wedge Incline,,,,
pouredConcreteWedgeStairs,blocks,Block,New,Wet Concrete Wedge Stairs,,,,
pouredConcreteWedgeTip,blocks,Block,New,Wet Concrete Wedge Tip,,,,
pouredConcreteWedgeTipCNRFullBottom,blocks,Block,New,Wet Concrete Wedge Full Corner Bottom,,,,
pouredConcreteWedgeTipCNRFullTop,blocks,Block,New,Wet Concrete Wedge Full Corner Top,,,,
pouredConcreteWedgeTipStairs,blocks,Block,New,Wet Concrete Wedge Tip Stairs,,,,
powerSourceDesc,blocks,Electricity,New,Used to generate power for your electrical components. See Journal Tip for more info.,,,,
presenceCreative,,Online Presence,KgNone,Surviving in Creative Multiplayer,,,,
presenceMainMenu,,Online Presence,KgNone,In Menus,,,,
presenceMultiplayer,,Online Presence,KgNone,Surviving in Survival Multiplayer,,,,
presencePlayingDay,,Online Presence,KgNone,Playing Day {0},,,,
presencePrivate,,Online Presence,KgNone,Surviving in a Private Game,,,,
presenceSinglePlayer,,Online Presence,KgNone,Surviving in Single Player,,,,
pressboyCapBlack,items,Clothes,New,Black Press Boy Cap,,,,
pressboyCapBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressboyCapBlue,items,Clothes,New,Blue Press Boy Cap,,,,
pressboyCapBlueDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressboyCapBrown,items,Clothes,New,Brown Press Boy Cap,,,,
pressboyCapBrownDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressboyCapGreen,items,Clothes,New,Green Press Boy Cap,,,,
pressboyCapGreenDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressboyCapRed,items,Clothes,New,Red Press Boy Cap,,,,
pressboyCapRedDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressboyCapWhite,items,Clothes,New,White Press Boy Cap,,,,
pressboyCapWhiteDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pressureplate,blocks,Electricity,New,Trigger Plate 1x1,,,,
pressureplateDesc,blocks,Electricity,New,Used to trigger electrical events when stepped on.,,,,
pressureplateLong,blocks,Electricity,New,Trigger Plate 1x5,,,,
pressurewelldesc,Items,Item,kgnone,This will supply water over time. place inside a box or leave on a surface and pick up spilled water with jars! Must learn pressurewell skill.,,,,
ps4InviteDialog,,PS4 Invite Dialog Text,KgNone,Come join my game.,,,,
ps4SaveLblCreative,,Main Menu New Game,KgNone,Creative Multiplayer,,,,
ps4SaveLblNavezgane,,Main Menu New Game,KgNone,Navezgane,,,,
ps4SaveLblPrivate,,Main Menu New Game,KgNone,Private Multiplayer,,,,
ps4SaveLblRandomGen,,Main Menu New Game,KgNone,Random Gen,,,,
ps4SaveLblSettingsDesc,,Main Menu User Sign In,KgNone,"Contains all user settings including video, audio, and controls preferences.",,,,
ps4SaveLblSettingsSummary,,Main Menu User Sign In,KgNone,User Settings,,,,
ps4SaveLblSettingsTitle,,Main Menu User Sign In,KgNone,Settings Data,,,,
ps4SaveLblSurvivalMP,,Main Menu New Game,KgNone,Survival Multiplayer,,,,
ps4SaveLblSurvivalSP,,Main Menu New Game,KgNone,Survival Single Player,,,,
ps4SaveLblWorldDesc,,Main Menu New Game,KgNone,"Contains all world data including world progression, rulesets, standard and modded options.",,,,
ps4SaveLblWorldTitle,,Main Menu New Game,KgNone,World Data,,,,
pufferCoat,items,Clothes,KgNone,Puffer Coat,,,,
pufferCoatBlack,items,Clothes,KgNone,Black Puffer Coat,,,,
pufferCoatBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pufferCoatBrown,items,Clothes,KgNone,Brown Puffer Coat,,,,
pufferCoatBrownDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pufferCoatDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pufferCoatGreen,items,Clothes,KgNone,Green Puffer Coat,,,,
pufferCoatGreenDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pufferCoatGroupDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nKeep toasty warm even in the coldest environments with this hand quilted Puffer Coat.,,,,
pufferCoatRed,items,Clothes,KgNone,Red Puffer Coat,,,,
pufferCoatRedDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
pummelPete,progression,Skill,GrChanged,Pummel Pete,,,,
pummelPeteDesc,progression,Skill,KgNone,Blunt instruments do more damage and swinging is easier with a better technique.,,,,
pumpShotgunSchematic,items,Book,KgNone,Shotgun Schematic,,,,
pumpShotgunSchematicDesc,items,Book,EnChanged,"Type: [decea3]Schematic[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\nLearn how to assemble, repair and augment shotguns by reading this schematic.",,,,
purificationTablets,items,Medical,,Purification Tablets,,,,
purificationTabletsDesc,items,Medical,,These tablets can clean murky water or purify clean water.,,,,
q_basicSurvival,items,Quest Note,KgNone,Basic Survival Quest Note,,,,
q_basicSurvivalDesc,items,Quest Note,KgNone,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\nA mysterious note from a stranger. I don't know how I got it.,,,,
qc_AnimalGroupDesc,items,Animal Challenge Note,KgNone,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\nA strange note I discovered in my travels. It's from the Slick Willie Clan.,,,,
qc_buythefarm,items,Animal Challenge Note,KgNone,Buy the Farm Challenge,,,,
qc_buythefarmDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_copanattitude,items,Zombie Challenge Note,KgNone,Cop an Attitude Challenge,,,,
qc_copanattitudeDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_dogdaysareover,items,Zombie Challenge Note,KgNone,The Dog Days Are Over Challenge,,,,
qc_dogdaysareoverDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_dontfeedthebears,items,Animal Challenge Note,KgNone,Don't Feed the Bears Challenge,,,,
qc_dontfeedthebearsDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_drunkanddisorderly,items,Zombie Challenge Note,KgNone,Drunk and Disorderly Challenge,,,,
qc_drunkanddisorderlyDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_imalumberjackandimokay,items,Zombie Challenge Note,KgNone,I'm a Lumberjack & I'm Okay Challenge,,,,
qc_imalumberjackandimokayDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_itsbitsyspider,items,Zombie Challenge Note,KgNone,Itsy Bitsy Spider Challenge,,,,
qc_itsbitsyspiderDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_killthewabbit,items,Animal Challenge Note,KgNone,Kill The Wabbit Challenge,,,,
qc_killthewabbitDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_ladykiller,items,Zombie Challenge Note,KgNone,Lady Killer Challenge,,,,
qc_ladykillerDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
qc_maneater,items,Zombie Challenge Note,KgNone,Man Eater Challenge,,,,
qc_maneaterDesc,items,Item,,Type: [decea3]Quest[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Paper[-]\n\n,,,,
